cell,cell_lat,cell_lon,total_events,dom_vehicle,dom_junction,cell_junction_share,cell_sev_mean,cell_veh_mean,cell_impact_sum,train_events,dom_police_station,pred_daily_viol,actual_daily_viol,pred_total,peak_block,peak_block_label,mean_impact_per_viol,epi_raw,EPI,zone_id
145_234,12.918252652380954,77.65173679285715,42,MOTOR CYCLE,No Junction,0.0,0.669047619047619,0.6952380952380952,23.79,39,HSR Layout,0.33739944666124894,0.07692307692307693,13.158578419788707,2,Morning Peak (08-12),0.566,0.1909680868102669,5.0,186
145_246,12.918674565625,77.669789625,32,CAR,No Junction,0.0,0.653125,0.90625,16.788,11,Bellandur,0.10079305661135776,0.5384615384615384,3.9309292078429516,0,Late Night (00-04),0.525,0.05291635472096283,1.5,19
145_247,12.918109956410257,77.67116296666667,39,CAR,No Junction,0.0,0.7358974358974358,0.9179487179487179,27.782,24,Bellandur,0.19029619260193337,0.38461538461538464,7.4215515114754025,2,Morning Peak (08-12),0.712,0.13549088913257656,3.7,19
145_248,12.917770641666666,77.6723825875,24,MOTOR CYCLE,No Junction,0.0,0.85,0.7166666666666667,16.672,14,Bellandur,0.1652044307667649,0.2564102564102564,6.44297279990383,3,Afternoon (12-16),0.695,0.11481707938290159,3.1,19
146_187,12.91993752142857,77.58080773214286,28,SCOOTER,"BTP191 - 40th Cross, 4th Main, Jayanagar",1.0,0.7,0.6142857142857142,15.1242,15,Jayanagara,0.19190843359609047,0.3333333333333333,7.484428910247529,0,Late Night (00-04),0.54,0.10363055414188886,2.8,21
146_189,12.919789321212122,77.58373032575757,66,CAR,"BTP191 - 40th Cross, 4th Main, Jayanagar",1.0,0.6621212121212121,0.9272727272727274,46.5374,49,Jayanagara,0.4359377965898996,0.4358974358974359,17.001574067006086,0,Late Night (00-04),0.705,0.3073361465958792,7.7,187
146_206,12.920014745454546,77.61036006363636,44,SCOOTER,"BTP163 - 16th Main Road, BTM Layout",1.0,0.7,0.7454545454545454,33.924800000000005,26,Mico Layout,0.23576501042962428,0.46153846153846156,9.194835406755349,3,Afternoon (12-16),0.771,0.18177482304124032,4.8,188
146_213,12.920172682699285,77.620815450083,42,CAR,BTP137 - Madiwala Traffic PS Junction,1.0,0.7119047619047618,1.0071428571428571,44.4821,21,Madiwala,0.24457028538587758,0.5384615384615384,9.538241130049226,0,Late Night (00-04),1.059,0.2589999322236443,6.6,20
146_214,12.91974988830983,77.62121621261008,47,CAR,BTP137 - Madiwala Traffic PS Junction,1.0,0.725531914893617,1.0042553191489363,45.3648,25,Madiwala,0.2750514180143666,0.5641025641025641,10.727005302560297,0,Late Night (00-04),0.965,0.2654246183838638,6.8,20
146_230,12.9196682,77.64517230384615,26,CAR,No Junction,0.0,0.6038461538461538,1.0076923076923077,17.01,21,HSR Layout,0.19243242684341558,0.1282051282051282,7.504864646893209,1,Early Morning (04-08),0.654,0.1258508071555938,3.4,189
147_187,12.921752745000001,77.580669085,20,SCOOTER,"BTP190 - 36th Cross, 4th Main, Jayanagar",1.0,0.6,0.7,10.8576,19,Jayanagara,0.18200549283385026,0.02564102564102564,7.098214220520159,0,Late Night (00-04),0.543,0.0988289826087807,2.7,21
147_190,12.921746552173913,77.58585667826087,23,CAR,No Junction,0.34782608695652173,0.6913043478260869,0.9478260869565218,18.409,20,Jayanagara,0.15955165041132285,0.07692307692307693,6.222514366041591,1,Early Morning (04-08),0.8,0.12764132032905828,3.5,22
