rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
96,205,1,12.936601678048781,77.60174493089431,123,0.59,0.967,Mico Layout,0.57053,8.1
97,19,4,12.917426978230692,77.67216135062802,207,0.89,0.637,Bellandur,0.56693,8.1
98,204,1,12.936139027225131,77.51799500261781,191,0.93,0.606,Byatarayanapura,0.56358,8.0
99,108,4,13.033885839140257,77.55782880946323,247,0.82,0.67,Yeshwanthpura,0.5494,7.9
100,109,5,13.035019855666667,77.62430547833333,300,0.93,0.582,K.G. Halli,0.54126,7.8
101,98,3,13.00869136372549,77.54307509411764,204,0.97,0.555,Rajajinagar,0.53835,7.7
102,26,3,12.926695314381272,77.55075941638796,299,0.8,0.67,Banashankari,0.536,7.7
103,125,4,12.840556615648602,77.67679633599425,280,0.77,0.685,Electronic City,0.5274500000000001,7.6
104,39,6,12.94154077882883,77.52524900270271,222,0.67,0.766,Byatarayanapura,0.51322,7.5
105,192,1,12.920879606779549,77.66537542210892,166,0.82,0.619,Bellandur,0.5075799999999999,7.4
106,81,3,12.987465392468769,77.61872046345071,175,0.77,0.644,Pulikeshinagar(F.Town),0.49588000000000004,7.2
107,93,4,13.001671415966387,77.52573796302521,119,0.43,1.134,Rajajinagar,0.48761999999999994,7.1
108,397,1,13.121995911240877,77.6308247069343,137,0.66,0.708,Chikkajala,0.46728,6.9
109,115,3,13.057146889024391,77.54701037987805,164,0.75,0.605,Jalahalli,0.45375,6.7
110,67,3,12.96892663991003,77.70096416669293,106,0.46,0.9,HAL Old Airport,0.41400000000000003,6.2
111,122,4,13.184060604278073,77.68771497433157,187,0.6,0.63,Chikkajala,0.378,5.8
112,44,3,12.949061206622519,77.59764063576159,151,0.39,0.933,Wilson Garden,0.36387,5.6
113,18,3,12.917097175,77.59618122987804,164,0.49,0.741,Jayanagara,0.36308999999999997,5.6
114,96,5,13.006688374576271,77.5796257338983,177,0.49,0.732,Sadashivanagar,0.35868,5.5
115,10,3,12.90674488863232,77.69684611766553,148,0.59,0.606,Bellandur,0.35753999999999997,5.5
116,124,3,12.819093573529411,77.688675575,136,0.51,0.658,Electronic City,0.33558000000000004,5.2
117,158,1,12.90359540833124,77.70419822620661,92,0.5,0.666,Bellandur,0.333,5.2
118,351,1,13.045396875862068,77.5075223724138,116,0.54,0.61,Chikkabanavara,0.3294,5.1
119,288,1,12.989281027999999,77.50054484571429,175,0.66,0.497,Kamakshipalya,0.32802000000000003,5.1
120,314,1,13.003462670000001,77.72350343384615,130,0.61,0.535,K.R. Pura,0.32635000000000003,5.1
121,8,3,12.906851360680553,77.54604286889979,100,0.41,0.78,K.S. Layout,0.3198,5.0
122,27,3,12.92588576,77.6337241432258,155,0.44,0.696,Adugodi,0.30623999999999996,4.8
123,104,4,13.022319747665485,77.63843370572431,170,0.56,0.536,Banaswadi,0.30016000000000004,4.7
124,20,3,12.920143715161,77.6209184992534,110,0.29,1.025,Madiwala,0.29724999999999996,4.7
125,364,1,13.05076866147541,77.5528290852459,122,0.54,0.545,Jalahalli,0.29430000000000006,4.6
126,68,3,12.967936076653256,77.74962048618758,84,0.32,0.917,Whitefield,0.29344000000000003,4.6
127,226,1,12.948139686875,77.5799713725,160,0.47,0.6,Basavanagudi,0.282,4.5
128,271,1,12.981143371309313,77.58852977055943,92,0.35,0.805,Cubbon Park,0.28175,4.5
129,64,3,12.968017061224488,77.56891586938775,98,0.39,0.715,Chamarajpet,0.27885,4.4
130,38,4,12.938115716502264,77.62647520152615,141,0.57,0.475,Adugodi,0.27075,4.3
131,286,1,12.987009719675745,77.51930309365594,175,0.6,0.45,Kamakshipalya,0.27,4.3
132,196,1,12.922904358208957,77.65149622238806,67,0.33,0.814,HSR Layout,0.26861999999999997,4.3
133,256,1,12.97182727260274,77.50771872465754,73,0.35,0.761,Jnanabharathi,0.26635,4.2
134,368,1,13.054927083333334,77.50761476904762,84,0.4,0.662,Chikkabanavara,0.26480000000000004,4.2
135,363,1,13.05046507236181,77.52552964170854,199,0.64,0.413,Jalahalli,0.26432,4.2
136,63,4,12.967463207758623,77.59346272931035,116,0.33,0.8,Halasuru Gate,0.264,4.2
137,23,4,12.923664299713506,77.67212612568603,133,0.42,0.627,Bellandur,0.26334,4.2
138,304,1,12.999330384892087,77.62486351151078,139,0.44,0.588,Pulikeshinagar(F.Town),0.25872,4.1
139,249,1,12.963607593838624,77.73307391578486,85,0.25,1.023,Whitefield,0.25575,4.1
140,223,1,12.947940954285713,77.53458037714286,35,0.26,0.972,Byatarayanapura,0.25272,4.1
141,169,1,12.90953660267393,77.54995741896539,64,0.29,0.867,K.S. Layout,0.25143,4.0
142,3,3,12.880580682737145,77.6451701026749,131,0.41,0.606,Electronic City,0.24846,4.0
143,218,1,12.942296913793104,77.7472602086207,58,0.29,0.844,Whitefield,0.24475999999999998,3.9
144,246,1,12.958570071008403,77.6682237710084,238,0.62,0.392,HAL Old Airport,0.24304,3.9
145,52,4,12.958664359183674,77.55482977755102,98,0.27,0.883,Chamarajpet,0.23841,3.8
146,203,1,12.934975307575758,77.53647978939394,198,0.86,0.262,Banashankari,0.22532,3.7
147,209,1,12.938217710810811,77.5926537054054,74,0.28,0.798,Wilson Garden,0.22344000000000003,3.6
148,187,1,12.919789321212122,77.58373032575757,66,0.3,0.705,Jayanagara,0.2115,3.5
149,185,1,12.916521263888889,77.65173718333332,72,0.4,0.515,HSR Layout,0.20600000000000002,3.4
150,110,3,13.036497346341463,77.57477924715448,123,0.29,0.687,Kodigehalli,0.19923,3.3
151,391,1,13.099635416911765,77.58864521323528,136,0.37,0.534,Yelahanka,0.19758,3.2
152,289,1,12.989109963768115,77.50781415797101,69,0.33,0.594,Kamakshipalya,0.19602,3.2
153,291,1,12.99010622070082,77.50321033731343,67,0.29,0.655,Kamakshipalya,0.18995,3.1
154,337,1,13.026394183333334,77.72057724285715,42,0.29,0.654,K.R. Pura,0.18966,3.1
155,146,1,12.893840655555556,77.56780148444444,45,0.22,0.862,K.S. Layout,0.18964,3.1
156,358,1,13.048991170222221,77.49726695585186,45,0.23,0.819,Chikkabanavara,0.18837,3.1
157,369,1,13.055056013207546,77.53465663018868,53,0.28,0.664,Jalahalli,0.18592000000000003,3.1
158,280,1,12.9857812121004,77.58861755270269,37,0.24,0.774,High ground,0.18576,3.1
159,222,1,12.947083707843138,77.59064106666666,51,0.2,0.921,Wilson Garden,0.18420000000000003,3.0
160,315,1,13.00396869698868,77.75701821534997,36,0.19,0.955,Mahadevapura,0.18145,3.0
